c1	c2	weight	query
15	5	2.80173047557841	adrenal cortex hormones/therapeutic use_beclomethasone/adverse effects_diarrhea/chemically induced_inflammation/drug therapy
2	3	3.23366712604973	antibodies monoclonal humanized/administration & dosage_drugs investigational/administration & dosage_immune checkpoint inhibitors/administration & dosage_neoplasms/diagnosis
2	3	2.72112858599447	antibodies monoclonal humanized/administration & dosage_carcinoma non-small-cell lung/complications_immune checkpoint inhibitors/administration & dosage_neoplasms/diagnosis
2	5	4.71167565885207	beclomethasone/adverse effects_diarrhea/chemically induced_feces_neoplasms/drug therapy
2	5	4.51122960363635	adrenal cortex hormones/therapeutic use_diarrhea/chemically induced_feces_neoplasms/drug therapy
2	7	2.97272655785741	antibodies monoclonal humanized/administration & dosage_drugs investigational/administration & dosage_neoplasms/diagnosis_pneumonia/chemically induced
2	7	2.96796983499233	dose-response relationship drug_feces_pneumonia/chemically induced_steroids/therapeutic use
3	4	3.38120470429256	colitis_diarrhea_immune checkpoint inhibitors_inflammatory bowel diseases
3	4	3.26461826953302	b7-h1 antigen/metabolism_gastrointestinal tract/metabolism_inflammatory bowel diseases_neoplasms
3	5	4.66423912991786	diarrhea/chemically induced_neoplasms/drug therapy_t-lymphocyte subsets/immunology_tryptophan/pharmacology
3	5	4.5877415141308	colon/immunology_diarrhea/chemically induced_neoplasms/drug therapy_tryptophan/pharmacology
3	8	4.15239296027686	b7-h1 antigen/metabolism_colitis/diagnosis_disease susceptibility_postoperative complications
3	8	4.03923406423552	b7-h1 antigen/metabolism_colitis/diagnosis_disease susceptibility_gastrointestinal tract/metabolism
4	5	4.5913381781836	beclomethasone/adverse effects_diarrhea/chemically induced_LTF_neoplasms/drug therapy
4	5	4.39089212296788	adrenal cortex hormones/therapeutic use_diarrhea/chemically induced_LTF_neoplasms/drug therapy
4	7	3.0210852709198	carcinoma renal cell/drug therapy_inflammatory bowel diseases/drug therapy_ipilimumab/therapeutic use_proton pump inhibitors/adverse effects
4	7	2.92091846759204	colitis_CTLA4_inflammatory bowel diseases/drug therapy_proton pump inhibitors/adverse effects
4	8	4.31417972524746	adenocarcinoma of lung/drug therapy_b7-h1 antigen/antagonists & inhibitors_biomarkers/metabolism_colitis/epidemiology
4	8	3.96886534188717	adenocarcinoma of lung/drug therapy_b7-h1 antigen/antagonists & inhibitors_CD274_colitis/epidemiology
5	8	3.01906208986632	adrenal cortex hormones/therapeutic use_beclomethasone/adverse effects_diarrhea/chemically induced_SNCA
5	8	2.46589178230031	adrenal cortex hormones/therapeutic use_antineoplastic agents/adverse effects_beclomethasone/adverse effects_SNCA
