KW	Category	Representativeness	Raw.Occurrence	Betweenness.centrality	Closeness.centrality	Strength	Wscore	Knode	Knode.rank	CommunityMembership
"antibodies monoclonal humanized/administration & dosage"	"MESH"	0.010752688172043	1	365.5	0.326776191238732	0.84904850438739	0.221796515354583	23.3704866189081	41	2
"antibodies monoclonal humanized/adverse effects"	"MESH"	0.010752688172043	1	0	1.20454310422196	1.01885820526487	1	0	2	9
"antibodies monoclonal humanized/therapeutic use"	"MESH"	0.010752688172043	1	0	0.292015372107767	0.339619401754956	0.0446943651302372	-6.02062031580299	173	10
"antibodies monoclonal/adverse effects"	"MESH"	0.010752688172043	1	64.6527777777778	0.415351597205809	1.01885820526487	0.224680962647864	-6.38644759644936	178	8
"antineoplastic agents immunological/adverse effects"	"MESH"	0.075268817204301	7	6469.4	0.557806730928718	4.6042922007844	0.965940213274285	-11.3009066333499	255	8
"antineoplastic agents immunological/therapeutic use"	"MESH"	0.032258064516129	3	0	0.295293593289512	0.84904850438739	0.128926053260299	-7.58309754436222	184	1
"antineoplastic agents/adverse effects"	"MESH"	0.0106382978723404	1	0	0.356647111752188	2.53055031630871	0.366149991259251	-5.47628215110788	162	5
"APC"	"GENE"	0.021505376344086	2	3728.5	0.285418105513948	3.98136871449464	0.936163393741623	23.4997659536725	40	11
"apoptosis/drug effects"	"MESH"	0.0106382978723404	1	0	0.356647111752188	2.53055031630871	0.366149991259251	-5.47628215110788	165	5
"ARG1"	"GENE"	0.010752688172043	1	30	0.243746876208342	2.03771641052974	0.401346075403531	24.243953293794	32	12
"arthritis/chemically induced"	"MESH"	0.010752688172043	1	254.104166666667	0.269595641201253	1.01885820526487	0.276965211817493	25.1402337506909	28	13
"axitinib/administration & dosage"	"MESH"	0.010752688172043	1	75.5641025641028	0.325101278909351	2.91309349943381	0.604204300448692	28.8076842642008	6	7
"azoxymethane/adverse effects"	"MESH"	0.010752688172043	1	30	0.243746876208342	2.03771641052974	0.401346075403531	24.243953293794	30	12
"b7-h1 antigen/antagonists & inhibitors"	"MESH"	0.032258064516129	3	961.5	0.409852627462106	1.91650389239936	0.496824194394266	-1.40653727204219	133	4
"b7-h1 antigen/genetics"	"MESH"	0.010752688172043	1	23.7272727272728	0.241229398184178	2.03771641052974	0.373667035720529	21.7380572811767	56	11
"b7-h1 antigen/metabolism"	"MESH"	0.010752688172043	1	0	0.320033043605423	0.84904850438739	0.128926053260299	-2.14629212073704	138	3
"beclomethasone/adverse effects"	"MESH"	0.010752688172043	1	0	0.397601123065594	0.690182696654485	0.10485985665171	-8.16602614215962	187	5
"bevacizumab/administration & dosage"	"MESH"	0.010752688172043	1	75.5641025641028	0.325101278909351	2.91309349943381	0.604204300448692	28.8076842642008	7	7
"biological products/therapeutic use"	"MESH"	0.010752688172043	1	0	0.389741541246979	0.509429102632434	0.0756366179127091	-8.70290607522753	202	-1
"biomarkers/analysis"	"MESH"	0.010752688172043	1	245.061507936508	0.419709323343332	3.75442840342281	0.687430802400792	-6.89898986084954	182	5
"biomarkers/metabolism"	"MESH"	0.010752688172043	1	0	0.306696790386986	0.509429102632434	0.0756366179127091	0.281950985650718	126	4
"BTLA"	"GENE"	0.010752688172043	1	0	0.285487422986818	2.03771641052974	0.326612668259425	5.83355073930571	92	13
"butyrates/metabolism"	"MESH"	0.010752688172043	1	0	0.382625086511798	0.169809700877478	0.0120330983042946	-9.21902478498441	211	-1
"carcinoma non-small-cell lung"	"MESH"	0.010752688172043	1	0	0.383093534304753	0.339619401754956	0.0446943651302372	-9.45914204506677	227	-1
"carcinoma non-small-cell lung/complications"	"MESH"	0.010752688172043	1	635.5	0.353051185470503	1.18866790614235	0.342928733756774	8.08316227145964	75	3
"carcinoma non-small-cell lung/drug therapy"	"MESH"	0.021505376344086	2	1935.33333333333	0.427492471470702	0.520372995777007	0.170619427772274	2.70071084246585	105	7
"carcinoma renal cell/drug therapy"	"MESH"	0.021505376344086	2	314.25	0.341735580963824	2.96251050922977	0.692267350387507	22.1679805913258	45	7
"CD274"	"GENE"	0.161290322580645	15	421	0.4223144043928	2.64177930957608	0.657391760386924	0.303985768301936	112	4
"CD28"	"GENE"	0.010752688172043	1	0	0.285487422986818	2.03771641052974	0.326612668259425	5.83355073930571	94	13
"CD4"	"GENE"	0.021505376344086	2	414.75	0.323342891450211	2.20015149229959	0.576190198706369	11.2356015547114	68	14
"CD68"	"GENE"	0.021505376344086	2	414.75	0.323342891450211	2.20015149229959	0.576190198706369	11.2356015547114	69	14
"cd8-positive t-lymphocytes"	"MESH"	0.010752688172043	1	0	0.383093534304753	0.339619401754956	0.0446943651302372	-9.45914204506677	225	-1
"cd8-positive t-lymphocytes/cytology"	"MESH"	0.010752688172043	1	0	0.289762188013889	2.03771641052974	0.326612668259425	0.289055971427599	115	15
"cd8-positive t-lymphocytes/drug effects"	"MESH"	0.021505376344086	2	39	0.303452634543438	3.1897472921677	0.527460520948663	7.46639244472006	78	14
"cd8-positive t-lymphocytes/immunology"	"MESH"	0.010752688172043	1	209	0.296713508547796	1.86790670965226	0.395009032107686	25.525728661401	20	12
"CD8A"	"GENE"	0.053763440860215	5	0	0.290608992601104	2.51850152318235	0.345521822737603	12.7131068313598	62	14
"cell line tumor"	"MESH"	0.021505376344086	2	691.5	0.254352083125457	3.4719396118622	0.795218810092652	26.1193316262385	17	12
"chemical and drug induced liver injury/diagnosis"	"MESH"	0.010752688172043	1	0	0.382625086511798	0.169809700877478	0.0120330983042946	-9.21902478498441	210	-1
"chemokines/metabolism"	"MESH"	0.010752688172043	1	0	0.289762188013889	2.03771641052974	0.326612668259425	0.289055971427599	114	15
"CHI3L1"	"GENE"	0.010752688172043	1	254.104166666667	0.269595641201253	1.01885820526487	0.276965211817493	25.1402337506909	29	13
"class i phosphatidylinositol 3-kinases/antagonists & inhibitors"	"MESH"	0.0106382978723404	1	0	0.356647111752188	2.53055031630871	0.366149991259251	-5.47628215110788	159	5
"clostridium infections/chemically induced"	"MESH"	0.010752688172043	1	0	0.384027234545669	0.679238803509912	0.101421828564769	-9.75400787925831	238	5
"colitis"	"MESH"	0.043010752688172	4	2630.5	0.491025873237248	2.50167858934444	0.722568614882583	-8.95898298093237	205	4
"colitis collagenous/drug therapy"	"MESH"	0.010752688172043	1	0	0.295492926557018	0.509429102632434	0.0756366179127091	-0.287950486835561	129	3
"colitis microscopic/chemically induced"	"MESH"	0.021505376344086	2	134.5	0.423595557934862	0.585174696945077	0.136661616455917	-9.7819444266504	242	-1
"colitis microscopic/diagnosis"	"MESH"	0.0104166666666666	1	0	0.339783420878406	1.11116635349752	0.170182390303595	0.74449344589133	110	2
"colitis ulcerative"	"MESH"	0.010752688172043	1	0	0.382627285313004	0.169809700877478	0.0120330983042946	-9.23348897180159	213	-1
"colitis ulcerative/chemically induced"	"MESH"	0.010752688172043	1	0	0.386172604275427	1.18866790614235	0.189091544781773	-9.5590888834226	230	8
"colitis ulcerative/drug therapy"	"MESH"	0.021505376344086	2	1011.91666666667	0.383915485376007	3.41453581169448	0.831609463317988	2.79016169837967	104	2
"colitis ulcerative/immunology"	"MESH"	0.021505376344086	2	39	0.303452634543438	3.1897472921677	0.527460520948663	7.46639244472006	77	14
"colitis ulcerative/physiopathology"	"MESH"	0.010752688172043	1	0	0.237872811566293	0.339619401754956	0.0446943651302372	-6.30211920201152	176	1
"colitis/chemically induced"	"MESH"	0.741935483870968	69	29993.5	0.55975374324538	4.9988281199572	0.988549618320611	-11.701213003466	260	-1
"colitis/diagnosis"	"MESH"	0.021505376344086	2	60	0.336580930712443	1.18866790614235	0.245178019928909	-4.46478623630931	151	3
"colitis/diagnostic imaging"	"MESH"	0.010752688172043	1	0	1.20454310422196	1.69809700877478	1	0	2	6
"colitis/drug therapy"	"MESH"	0.032258064516129	3	793	0.339795523037469	2.88676491491713	0.744012586679098	2.07838633724124	107	15
"colitis/epidemiology"	"MESH"	0.010752688172043	1	0	0.361753094477693	0.509429102632434	0.0756366179127091	-2.91083532073334	142	8
"colitis/etiology"	"MESH"	0.021505376344086	2	2738	0.343109083700587	2.20752611140721	0.70009032107686	11.4568149553086	67	12
"colitis/therapy"	"MESH"	0.010752688172043	1	0	0.382955507975302	0.339619401754956	0.0446943651302372	-9.34331872876784	223	-1
"colon/chemistry"	"MESH"	0.0106382978723404	1	0	0.356647111752188	2.53055031630871	0.366149991259251	-5.47628215110788	156	5
"colon/diagnostic imaging"	"MESH"	0.010752688172043	1	0	0.314878494180074	1.35847760701982	0.211438727346891	-5.940139017898	172	10
"colon/drug effects"	"MESH"	0.032258064516129	3	897.788888888889	0.319948669068241	3.57756602698856	0.837931938698211	8.7008663038827	70	14
"colon/immunology"	"MESH"	0.021505376344086	2	0.5	0.422934920110299	0.754984397822555	0.107482081463784	-10.0555545501316	245	5
"colonic neoplasms/drug therapy"	"MESH"	0.010752688172043	1	30	0.243746876208342	2.03771641052974	0.401346075403531	24.243953293794	36	12
"colorectal neoplasms/drug therapy"	"MESH"	0.010752688172043	1	23.7272727272728	0.241229398184178	2.03771641052974	0.373667035720529	21.7380572811767	55	11
"crohn disease/drug therapy"	"MESH"	0.010752688172043	1	0	0.396223484233421	0.339619401754956	0.0446943651302372	-9.32990168187502	222	-1
"crohn disease/immunology"	"MESH"	0.010752688172043	1	0	0.2711591226367	1.35847760701982	0.211438727346891	11.658568211891	66	14
"crohn disease/physiopathology"	"MESH"	0.010752688172043	1	0	0.237872811566293	0.339619401754956	0.0446943651302372	-6.30211920201152	177	1
"CRP"	"GENE"	0.010752688172043	1	635.5	0.353051185470503	1.18866790614235	0.342928733756774	8.08316227145964	72	3
"CSF2"	"GENE"	0.010752688172043	1	0	0.285487422986818	2.03771641052974	0.326612668259425	5.83355073930571	86	13
"ctla-4 antigen/antagonists & inhibitors"	"MESH"	0.032258064516129	3	1248.37777777778	0.452394821570383	2.73840398522122	0.75636617912709	-6.2373701528089	175	8
"ctla-4 antigen/immunology"	"MESH"	0.010752688172043	1	0	0.289762188013889	2.03771641052974	0.326612668259425	0.289055971427599	120	15
"CTLA4"	"GENE"	0.129032258064516	12	1133	0.422322078473377	4.02804116291651	0.87267641745819	0.26653658338348	127	4
"CXCL10"	"GENE"	0.010752688172043	1	0	0.35571089629029	1.01885820526487	0.166744362216654	-8.36285698528234	196	10
"CXCL8"	"GENE"	0.010752688172043	1	254.104166666667	0.269595641201253	1.01885820526487	0.276965211817493	25.1402337506909	26	13
"CXCL9"	"GENE"	0.010752688172043	1	0	0.35571089629029	1.01885820526487	0.166744362216654	-8.36285698528234	192	10
"cytomegalovirus infections/complications"	"MESH"	0.010752688172043	1	0	0.382627285313004	0.169809700877478	0.0120330983042946	-9.23348897180159	212	-1
"cytomegalovirus infections/diagnosis"	"MESH"	0.010752688172043	1	0	0.3817165234473	0.169809700877478	0.0120330983042946	-8.90392542244494	204	-1
"cytotoxicity immunologic"	"MESH"	0.010752688172043	1	209	0.296713508547796	1.86790670965226	0.395009032107686	25.525728661401	25	12
"dermatitis"	"MESH"	0.010752688172043	1	0	0.35571089629029	1.01885820526487	0.166744362216654	-8.36285698528234	194	10
"dextran sulfate/adverse effects"	"MESH"	0.010752688172043	1	30	0.243746876208342	2.03771641052974	0.401346075403531	24.243953293794	37	12
"diabetes mellitus type 1/chemically induced"	"MESH"	0.010752688172043	1	75.5641025641028	0.325101278909351	2.91309349943381	0.604204300448692	28.8076842642008	13	7
"diarrhea"	"MESH"	0.021505376344086	2	0	0.435986676474871	1.34015909476763	0.190810558825243	-10.1281717054347	246	4
"diarrhea/chemically induced"	"MESH"	0.150537634408602	14	4744.7619047619	0.543238587423898	2.76301147172498	0.824194394266068	-11.2693302704653	254	5
"diarrhea/diagnosis"	"MESH"	0.0104166666666666	1	0	0.339783420878406	1.11116635349752	0.170182390303595	0.74449344589133	109	2
"diarrhea/etiology"	"MESH"	0.0104166666666666	1	0	0.348201333855161	1.48155513799669	0.226909853738127	5.89788604221745	79	2
"diarrhea/therapy"	"MESH"	0.010752688172043	1	52.75	0.392248922991031	0.509429102632434	0.0974302196841676	-8.57928683323799	199	4
"disease progression"	"MESH"	0.010752688172043	1	253.416666666667	0.387817032329816	1.01885820526487	0.271312860555912	-10.7719088068107	251	1
"disease susceptibility"	"MESH"	0.010752688172043	1	63.3333333333333	0.389296757576958	0.509429102632434	0.0993531845463551	-10.7173723121302	249	8
"dose-response relationship drug"	"MESH"	0.021505376344086	2	1917.25	0.378378888056422	2.50041334326156	0.70446069576365	12.7142440404933	61	2
"drug resistance/immunology"	"MESH"	0.010752688172043	1	0	0.314878494180074	1.35847760701982	0.211438727346891	-5.940139017898	170	10
"drug synergism"	"MESH"	0.021505376344086	2	691.5	0.254352083125457	3.4719396118622	0.795218810092652	26.1193316262385	16	12
"drug-related side effects and adverse reactions"	"MESH"	0.021505376344086	2	2553.1	0.405568897003887	1.5282873078973	0.485767146436688	-4.67261023475787	152	3
"drug-related side effects and adverse reactions/diagnosis"	"MESH"	0.010752688172043	1	0	0.393326461906188	0.524813794004542	0.0876697162170037	-6.92649263138506	183	-1
"drug-related side effects and adverse reactions/prevention & control"	"MESH"	0.010752688172043	1	209	0.296713508547796	1.86790670965226	0.395009032107686	25.525728661401	21	12
"drugs investigational/administration & dosage"	"MESH"	0.010752688172043	1	365.5	0.326776191238732	0.84904850438739	0.221796515354583	23.3704866189081	43	2
"dysbiosis/etiology"	"MESH"	0.010752688172043	1	650	0.407595842083464	1.01885820526487	0.309466231571587	-4.18153184793204	149	8
"encephalitis/diagnostic imaging"	"MESH"	0.010752688172043	1	0	1.20454310422196	1.69809700877478	1	0	11	6
"endometrial neoplasms/drug therapy"	"MESH"	0.010752688172043	1	0	0.385146660279719	0.520372995777007	0.0825126740865917	-9.62880491952643	234	4
"enterocolitis/chemically induced"	"MESH"	0.021505376344086	2	516.833333333333	0.295849359066141	1.18866790614235	0.333313909445836	-8.03538841526535	186	1
"escherichia coli infections/drug therapy"	"MESH"	0.010752688172043	1	0	0.384027234545669	0.679238803509912	0.101421828564769	-9.75400787925831	239	5
"esophagitis"	"MESH"	0.010752688172043	1	0	0.383093534304753	0.339619401754956	0.0446943651302372	-9.45914204506677	226	-1
"exanthema/chemically induced"	"MESH"	0.010752688172043	1	75.5641025641028	0.325101278909351	2.91309349943381	0.604204300448692	28.8076842642008	10	7
"fatigue/chemically induced"	"MESH"	0.010752688172043	1	75.5641025641028	0.325101278909351	2.91309349943381	0.604204300448692	28.8076842642008	15	7
"feces"	"MESH"	0.010752688172043	1	17.5	0.409016402693232	0.509429102632434	0.0794825476370841	-2.95568559549793	143	2
"feces/chemistry"	"MESH"	0.010752688172043	1	1391.85317460317	0.442542413517572	2.95747457747802	0.828652176446594	-2.38714682668787	140	2
"gastritis/chemically induced"	"MESH"	0.0106382978723404	1	0	0.384230058090875	0.180753594022051	0.0189091544781773	-9.26322026415737	216	-1
"gastritis/complications"	"MESH"	0.010752688172043	1	253.416666666667	0.387817032329816	1.01885820526487	0.271312860555912	-10.7719088068107	253	1
"gastrointestinal hemorrhage/etiology"	"MESH"	0.0104166666666666	1	0	0.348201333855161	1.48155513799669	0.226909853738127	5.89788604221745	82	2
"gastrointestinal neoplasms/drug therapy"	"MESH"	0.010752688172043	1	0	0.285487422986818	2.03771641052974	0.326612668259425	5.83355073930571	90	13
"gastrointestinal tract/metabolism"	"MESH"	0.010752688172043	1	0	0.320033043605423	0.84904850438739	0.128926053260299	-2.14629212073704	139	3
"gene expression regulation neoplastic"	"MESH"	0.010752688172043	1	23.7272727272728	0.241229398184178	2.03771641052974	0.373667035720529	21.7380572811767	53	11
"gene expression regulation/genetics"	"MESH"	0.010752688172043	1	0	0.289762188013889	2.03771641052974	0.326612668259425	0.289055971427599	113	15
"gentian violet"	"MESH"	0.010752688172043	1	0	1.20454310422196	0.169809700877478	1	0	1	-1
"glucocorticoids"	"MESH"	0.010752688172043	1	254.104166666667	0.269595641201253	1.01885820526487	0.276965211817493	25.1402337506909	27	13
"glucocorticoids/administration & dosage"	"MESH"	0.0104166666666666	1	0	0.348201333855161	1.48155513799669	0.226909853738127	5.89788604221745	81	2
"glucocorticoids/pharmacology"	"MESH"	0.010752688172043	1	0	0.314878494180074	1.35847760701982	0.211438727346891	-5.940139017898	167	10
"glucocorticoids/therapeutic use"	"MESH"	0.010752688172043	1	253.416666666667	0.387817032329816	1.01885820526487	0.271312860555912	-10.7719088068107	250	1
"glycoproteins/metabolism"	"MESH"	0.010752688172043	1	0	0.306696790386986	0.509429102632434	0.0756366179127091	0.281950985650718	125	4
"graft vs host disease/immunology"	"MESH"	0.010752688172043	1	0	0.2711591226367	1.35847760701982	0.211438727346891	11.658568211891	65	14
"growth inhibitors/therapeutic use"	"MESH"	0.010752688172043	1	209	0.296713508547796	1.86790670965226	0.395009032107686	25.525728661401	18	12
"hashimoto disease/chemically induced"	"MESH"	0.010752688172043	1	0	0.386172604275427	1.18866790614235	0.189091544781773	-9.5590888834226	229	8
"HAVCR2"	"GENE"	0.010752688172043	1	0	0.285487422986818	2.03771641052974	0.326612668259425	5.83355073930571	84	13
"hepatitis autoimmune/etiology"	"MESH"	0.010752688172043	1	75.5641025641028	0.325101278909351	2.91309349943381	0.604204300448692	28.8076842642008	14	7
"hepatitis/diagnosis"	"MESH"	0.010752688172043	1	0	0.382625086511798	0.169809700877478	0.0120330983042946	-9.21902478498441	209	-1
"hepatitis/diagnostic imaging"	"MESH"	0.010752688172043	1	0	1.20454310422196	1.69809700877478	1	0	4	6
"host microbial interactions/drug effects"	"MESH"	0.010752688172043	1	650	0.407595842083464	1.01885820526487	0.309466231571587	-4.18153184793204	147	8
"ht29 cells"	"MESH"	0.010752688172043	1	23.7272727272728	0.241229398184178	2.03771641052974	0.373667035720529	21.7380572811767	47	11
"hypophysitis/chemically induced"	"MESH"	0.010752688172043	1	75.5641025641028	0.325101278909351	2.91309349943381	0.604204300448692	28.8076842642008	12	7
"IL15"	"GENE"	0.010752688172043	1	0	0.285487422986818	2.03771641052974	0.326612668259425	5.83355073930571	88	13
"IL17A"	"GENE"	0.021505376344086	2	583	0.233491302505434	2.54714551316217	0.654682128081114	23.1311291098785	44	11
"IL17C"	"GENE"	0.010752688172043	1	0	0.285487422986818	2.03771641052974	0.326612668259425	5.83355073930571	87	13
"IL21"	"GENE"	0.010752688172043	1	0	0.285487422986818	2.03771641052974	0.326612668259425	5.83355073930571	85	13
"IL22"	"GENE"	0.021505376344086	2	3128.16666666667	0.352793026566851	2.55808940630674	0.789814113396655	1.21976955343575	108	13
"IL4"	"GENE"	0.010752688172043	1	0	0.285487422986818	2.03771641052974	0.326612668259425	5.83355073930571	89	13
"IL6"	"GENE"	0.021505376344086	2	1424.08333333333	0.302280324168227	2.72789910718422	0.762499271604219	12.1151376128045	63	13
"immune checkpoint inhibitors"	"MESH"	0.32258064516129	30	17896.5	0.559753743245286	6.9071251487983	0.99236641221374	-11.7226111989345	261	4
"immune checkpoint inhibitors/administration & dosage"	"MESH"	0.043010752688172	4	3646.5	0.319966180499583	1.60403290220994	0.499271604218868	21.9224790522102	46	3
"immune checkpoint inhibitors/adverse effects"	"MESH"	0.56989247311828	53	19866.875	0.55975374324538	4.71176166376074	0.980974302196842	-11.6859547930912	259	-1
"immune checkpoint inhibitors/pharmacology"	"MESH"	0.043010752688172	4	1597.31706349206	0.365484274892216	2.55808940630674	0.75520074587728	-1.83930208762254	136	3
"immune checkpoint inhibitors/therapeutic use"	"MESH"	0.021505376344086	2	750	0.271813991067622	3.76600470626444	0.818658586329468	33.3028526533971	1	7
"immune system diseases/drug therapy"	"MESH"	0.010752688172043	1	0	0.285487422986818	2.03771641052974	0.326612668259425	5.83355073930571	91	13
"immunocompromised host"	"MESH"	0.010752688172043	1	0	1.20454310422196	1.01885820526487	1	0	6	9
"immunologic factors"	"MESH"	0.021505376344086	2	0	0.422537306534222	0.585174696945077	0.091107744303945	-9.86546464854555	243	-1
"immunologic memory/drug effects"	"MESH"	0.010752688172043	1	338.333333333333	0.351377059599126	1.35847760701982	0.358370724316765	-0.672544327269874	132	14
"immunosuppressive agents/pharmacology"	"MESH"	0.010752688172043	1	0	0.314878494180074	1.35847760701982	0.211438727346891	-5.940139017898	171	10
"immunosuppressive agents/therapeutic use"	"MESH"	0.010752688172043	1	0	1.20454310422196	1.01885820526487	1	0	3	9
"inflammation"	"MESH"	0.010752688172043	1	0	1.20454310422196	0.169809700877478	1	0	2	-1
"inflammation/drug therapy"	"MESH"	0.021505376344086	2	2006.72619047619	0.35467253974558	2.37733581228469	0.705990326904027	-5.56211210070233	166	15
"inflammatory bowel diseases"	"MESH"	0.021505376344086	2	855.714285714286	0.395823712586891	1.5282873078973	0.452333780082746	-5.22044773231021	153	3
"inflammatory bowel diseases/complications"	"MESH"	0.021505376344086	2	4	0.357736779063444	0.773808253414722	0.111051220791329	3.19517208928216	100	-1
"inflammatory bowel diseases/drug therapy"	"MESH"	0.032258064516129	3	1947.5	0.403632056678531	1.43422320133247	0.453280694598217	8.24476968705212	71	4
"infliximab/administration & dosage"	"MESH"	0.010752688172043	1	635.5	0.353051185470503	1.18866790614235	0.342928733756774	8.08316227145964	74	3
"infliximab/adverse effects"	"MESH"	0.043010752688172	4	782.5	0.384519466570161	2.63383500061939	0.717600955655265	-8.58501577322999	201	10
"interferon-gamma/metabolism"	"MESH"	0.010752688172043	1	338.333333333333	0.351377059599126	1.35847760701982	0.358370724316765	-0.672544327269874	131	14
"interleukin-12/antagonists & inhibitors"	"MESH"	0.010752688172043	1	0	0.291937745661787	0.509429102632434	0.0756366179127091	2.79283374408792	101	2
"interleukin-17/genetics"	"MESH"	0.010752688172043	1	23.7272727272728	0.241229398184178	2.03771641052974	0.373667035720529	21.7380572811767	57	11
"interleukin-23/antagonists & inhibitors"	"MESH"	0.010752688172043	1	0	0.291937745661787	0.509429102632434	0.0756366179127091	2.79283374408792	102	2
"intestinal mucosa/chemistry"	"MESH"	0.0106382978723404	1	0	0.356647111752188	2.53055031630871	0.366149991259251	-5.47628215110788	155	5
"intestinal mucosa/diagnostic imaging"	"MESH"	0.010752688172043	1	0	0.314878494180074	1.35847760701982	0.211438727346891	-5.940139017898	168	10
"intestinal mucosa/immunology"	"MESH"	0.010752688172043	1	0	0.382953305400168	0.339619401754956	0.0446943651302372	-9.31891744420854	221	-1
"ipilimumab/adverse effects"	"MESH"	0.0967741935483871	9	1.5	0.559480730313446	2.32842038694957	0.342637375444321	-11.5626426946475	257	-1
"ipilimumab/therapeutic use"	"MESH"	0.032258064516129	3	555.25	0.375434110009794	3.54768520617485	0.755084202552299	19.8868795986877	59	7
"leukemia lymphocytic chronic b-cell/drug therapy"	"MESH"	0.0106382978723404	1	0	0.356647111752188	2.53055031630871	0.366149991259251	-5.47628215110788	154	5
"leukocyte l1 antigen complex/analysis"	"MESH"	0.010752688172043	1	1391.85317460317	0.442542413517572	2.95747457747802	0.828652176446594	-2.38714682668787	141	2
"LIF"	"GENE"	0.010752688172043	1	0	0.285487422986818	2.03771641052974	0.326612668259425	5.83355073930571	93	13
"ligands"	"MESH"	0.010752688172043	1	0	0.357857775196501	0.524813794004542	0.0876697162170037	-3.3294077904013	145	4
"LTF"	"GENE"	0.010752688172043	1	0	0.397445890233225	0.690182696654485	0.10485985665171	-9.70434006202994	237	4
"lung neoplasms"	"MESH"	0.010752688172043	1	148	0.389525148187781	0.339619401754956	0.0674203135015442	-9.24678416636977	214	-1
"lung neoplasms/drug therapy"	"MESH"	0.021505376344086	2	0	0.383068256707287	0.339619401754956	0.0446943651302372	-9.27091470679864	219	-1
"lymphocytes tumor-infiltrating/immunology"	"MESH"	0.010752688172043	1	209	0.296713508547796	1.86790670965226	0.395009032107686	25.525728661401	24	12
"lymphocytes tumor-infiltrating/metabolism"	"MESH"	0.010752688172043	1	23.7272727272728	0.241229398184178	2.03771641052974	0.373667035720529	21.7380572811767	48	11
"lymphocytes/drug effects"	"MESH"	0.010752688172043	1	64.6527777777778	0.415351597205809	1.01885820526487	0.224680962647864	-6.38644759644936	180	8
"lymphocytosis/chemically induced"	"MESH"	0.0106382978723404	1	0	0.356647111752188	2.53055031630871	0.366149991259251	-5.47628215110788	158	5
"lymphoma non-hodgkin/drug therapy"	"MESH"	0.0106382978723404	1	0	0.356647111752188	2.53055031630871	0.366149991259251	-5.47628215110788	163	5
"macrophages/drug effects"	"MESH"	0.010752688172043	1	0	0.2711591226367	1.35847760701982	0.211438727346891	11.658568211891	64	14
"melanoma/complications"	"MESH"	0.032258064516129	3	756.355555555556	0.368686879359797	2.21847000455179	0.633063341297127	0.165156202622681	128	3
"melanoma/drug therapy"	"MESH"	0.053763440860215	5	1190.6	0.409184232359011	2.7743822961001	0.760008158032749	-8.86561222286367	203	10
"melanoma/genetics"	"MESH"	0.010752688172043	1	0	0.289762188013889	2.03771641052974	0.326612668259425	0.289055971427599	121	15
"melanoma/immunology"	"MESH"	0.010752688172043	1	0	1.20454310422196	1.01885820526487	1	0	1	9
"mesalamine/pharmacology"	"MESH"	0.010752688172043	1	66.4944444444445	0.308037810226258	0.84904850438739	0.177000174814987	4.59422445269527	99	3
"metabolome/drug effects"	"MESH"	0.010752688172043	1	650	0.407595842083464	1.01885820526487	0.309466231571587	-4.18153184793204	150	8
"micrornas/genetics"	"MESH"	0.010752688172043	1	23.7272727272728	0.241229398184178	2.03771641052974	0.373667035720529	21.7380572811767	50	11
"MIR15B"	"GENE"	0.010752688172043	1	23.7272727272728	0.241229398184178	2.03771641052974	0.373667035720529	21.7380572811767	54	11
