"entity"	"membership"
"immunosuppressive agents/therapeutic use"	9
"melanoma/immunology"	9
"myasthenia gravis/diagnosis"	9
"prednisone/therapeutic use"	9
"skin neoplasms/immunology"	9
"antibodies monoclonal humanized/therapeutic use"	10
"colon/diagnostic imaging"	10
"CXCL10"	10
"CXCL9"	10
"dermatitis"	10
"drug resistance/immunology"	10
"glucocorticoids/pharmacology"	10
"immunosuppressive agents/pharmacology"	10
"infliximab/adverse effects"	10
"intestinal mucosa/diagnostic imaging"	10
"melanoma/drug therapy"	10
"mucositis/chemically induced"	10
"psoriasis"	10
"rna"	10
"skin neoplasms/drug therapy"	10
"steroids/adverse effects"	10
"TCIM"	10
"TNF"	10
"tumor necrosis factor inhibitors"	10
"APC"	11
"b7-h1 antigen/genetics"	11
"colorectal neoplasms/drug therapy"	11
"gene expression regulation neoplastic"	11
"ht29 cells"	11
"IL17A"	11
"interleukin-17/genetics"	11
"lymphocytes tumor-infiltrating/metabolism"	11
"micrornas/genetics"	11
"MIR15B"	11
"NRF1"	11
"t-lymphocytes cytotoxic/immunology"	11
"tumor microenvironment/drug effects"	11
"ARG1"	12
"azoxymethane/adverse effects"	12
"cd8-positive t-lymphocytes/immunology"	12
"cell line tumor"	12
"colitis/etiology"	12
"colonic neoplasms/drug therapy"	12
"cytotoxicity immunologic"	12
"dextran sulfate/adverse effects"	12
"drug synergism"	12
"drug-related side effects and adverse reactions/prevention & control"	12
"growth inhibitors/therapeutic use"	12
"lymphocytes tumor-infiltrating/immunology"	12
"MTOR"	12
"myeloid-derived suppressor cells/metabolism"	12
"PARP1"	12
"phosphatidylinositol 3-kinases/metabolism"	12
"phthalazines/administration & dosage"	12
"piperazines/administration & dosage"	12
"poly(adp-ribose) polymerase inhibitors/administration & dosage"	12
"sirolimus/therapeutic use"	12
"TIPARP"	12
"arthritis/chemically induced"	13
"BTLA"	13
"CD28"	13
"CHI3L1"	13
"CSF2"	13
"CXCL8"	13
"gastrointestinal neoplasms/drug therapy"	13
"glucocorticoids"	13
"HAVCR2"	13
"IL15"	13
"IL17C"	13
"IL21"	13
"IL22"	13
"IL4"	13
"IL6"	13
"immune system diseases/drug therapy"	13
"LIF"	13
"CD4"	14
"CD68"	14
"cd8-positive t-lymphocytes/drug effects"	14
"CD8A"	14
"colitis ulcerative/immunology"	14
"colon/drug effects"	14
"crohn disease/immunology"	14
"graft vs host disease/immunology"	14
"immunologic memory/drug effects"	14
"interferon-gamma/metabolism"	14
"macrophages/drug effects"	14
"phenotype"	14
"piperidines/therapeutic use"	14
"protein kinase inhibitors/therapeutic use"	14
"pyrimidines/therapeutic use"	14
"cd8-positive t-lymphocytes/cytology"	15
"chemokines/metabolism"	15
"colitis/drug therapy"	15
"ctla-4 antigen/immunology"	15
"gene expression regulation/genetics"	15
"inflammation/drug therapy"	15
"melanoma/genetics"	15
"multigene family"	15
"myeloid cells/cytology"	15
"receptors antigen t-cell/genetics"	15
"receptors cxcr3/genetics"	15
"receptors cxcr6/genetics"	15
"t-lymphocytes regulatory/cytology"	15
