entity	category	node_weight	occurrence
recurrence	MESH	0.010752688172043	1
APC	GENE	0.021505376344086	2
ARG1	GENE	0.010752688172043	1
azoxymethane/adverse effects	MESH	0.010752688172043	1
b7-h1 antigen/genetics	MESH	0.010752688172043	1
colonic neoplasms/drug therapy	MESH	0.010752688172043	1
colorectal neoplasms/drug therapy	MESH	0.010752688172043	1
dextran sulfate/adverse effects	MESH	0.010752688172043	1
gene expression regulation neoplastic	MESH	0.010752688172043	1
ht29 cells	MESH	0.010752688172043	1
interleukin-17/genetics	MESH	0.010752688172043	1
lymphocytes tumor-infiltrating/metabolism	MESH	0.010752688172043	1
micrornas/genetics	MESH	0.010752688172043	1
MIR15B	GENE	0.010752688172043	1
myeloid-derived suppressor cells/metabolism	MESH	0.010752688172043	1
NRF1	GENE	0.010752688172043	1
PARP1	GENE	0.010752688172043	1
phthalazines/administration & dosage	MESH	0.010752688172043	1
piperazines/administration & dosage	MESH	0.010752688172043	1
poly(adp-ribose) polymerase inhibitors/administration & dosage	MESH	0.010752688172043	1
t-lymphocytes cytotoxic/immunology	MESH	0.010752688172043	1
TIPARP	GENE	0.010752688172043	1
tumor microenvironment/drug effects	MESH	0.010752688172043	1
cell line tumor	MESH	0.021505376344086	2
drug synergism	MESH	0.021505376344086	2
arthritis/chemically induced	MESH	0.010752688172043	1
CHI3L1	GENE	0.010752688172043	1
CXCL8	GENE	0.010752688172043	1
glucocorticoids	MESH	0.010752688172043	1
IL17A	GENE	0.021505376344086	2
IL6	GENE	0.021505376344086	2
CD274	GENE	0.1612903225806451	15
colitis/epidemiology	MESH	0.010752688172043	1
b7-h1 antigen/metabolism	MESH	0.010752688172043	1
colitis/diagnosis	MESH	0.021505376344086	2
gastrointestinal tract/metabolism	MESH	0.010752688172043	1
inflammatory bowel diseases	MESH	0.021505376344086	2
programmed cell death 1 receptor/metabolism	MESH	0.010752688172043	1
colitis/drug therapy	MESH	0.032258064516129	3
feces/chemistry	MESH	0.010752688172043	1
leukocyte l1 antigen complex/analysis	MESH	0.010752688172043	1
BTLA	GENE	0.010752688172043	1
CD28	GENE	0.010752688172043	1
CSF2	GENE	0.010752688172043	1
gastrointestinal neoplasms/drug therapy	MESH	0.010752688172043	1
HAVCR2	GENE	0.010752688172043	1
IL15	GENE	0.010752688172043	1
IL17C	GENE	0.010752688172043	1
IL21	GENE	0.010752688172043	1
IL4	GENE	0.010752688172043	1
immune system diseases/drug therapy	MESH	0.010752688172043	1
LIF	GENE	0.010752688172043	1
butyrates/metabolism	MESH	0.010752688172043	1
carcinoma non-small-cell lung	MESH	0.010752688172043	1
cd8-positive t-lymphocytes	MESH	0.010752688172043	1
carcinoma non-small-cell lung/drug therapy	MESH	0.021505376344086	2
nivolumab/adverse effects	MESH	0.1290322580645161	12
inflammatory bowel diseases/drug therapy	MESH	0.032258064516129	3
proton pump inhibitors/adverse effects	MESH	0.010752688172043	1
CTLA4	GENE	0.1290322580645161	12
PDCD1	GENE	0.2688172043010752	25
CD4	GENE	0.021505376344086	2
CD68	GENE	0.021505376344086	2
cd8-positive t-lymphocytes/drug effects	MESH	0.021505376344086	2
CD8A	GENE	0.053763440860215	5
colitis ulcerative/immunology	MESH	0.021505376344086	2
crohn disease/immunology	MESH	0.010752688172043	1
graft vs host disease/immunology	MESH	0.010752688172043	1
macrophages/drug effects	MESH	0.010752688172043	1
phenotype	MESH	0.021505376344086	2
cd8-positive t-lymphocytes/cytology	MESH	0.010752688172043	1
chemokines/metabolism	MESH	0.010752688172043	1
ctla-4 antigen/immunology	MESH	0.010752688172043	1
gene expression regulation/genetics	MESH	0.010752688172043	1
melanoma/genetics	MESH	0.010752688172043	1
multigene family	MESH	0.010752688172043	1
myeloid cells/cytology	MESH	0.010752688172043	1
receptors antigen t-cell/genetics	MESH	0.010752688172043	1
receptors cxcr3/genetics	MESH	0.010752688172043	1
receptors cxcr6/genetics	MESH	0.010752688172043	1
t-lymphocytes regulatory/cytology	MESH	0.010752688172043	1
immunologic memory/drug effects	MESH	0.010752688172043	1
interferon-gamma/metabolism	MESH	0.010752688172043	1
piperidines/therapeutic use	MESH	0.021505376344086	2
pyrimidines/therapeutic use	MESH	0.021505376344086	2
cd8-positive t-lymphocytes/immunology	MESH	0.010752688172043	1
cytotoxicity immunologic	MESH	0.010752688172043	1
drug-related side effects and adverse reactions/prevention & control	MESH	0.010752688172043	1
growth inhibitors/therapeutic use	MESH	0.010752688172043	1
immune checkpoint inhibitors/therapeutic use	MESH	0.021505376344086	2
lymphocytes tumor-infiltrating/immunology	MESH	0.010752688172043	1
MTOR	GENE	0.010752688172043	1
phosphatidylinositol 3-kinases/metabolism	MESH	0.010752688172043	1
sirolimus/therapeutic use	MESH	0.010752688172043	1
chemical and drug induced liver injury/diagnosis	MESH	0.010752688172043	1
colitis	MESH	0.043010752688172	4
diarrhea	MESH	0.021505376344086	2
ligands	MESH	0.010752688172043	1
neoplasms	MESH	0.043010752688172	4
pneumonia	MESH	0.010752688172043	1
colitis collagenous/drug therapy	MESH	0.010752688172043	1
skin neoplasms/complications	MESH	0.010752688172043	1
colitis microscopic/chemically induced	MESH	0.021505376344086	2
inflammatory bowel diseases/complications	MESH	0.021505376344086	2
colitis ulcerative	MESH	0.010752688172043	1
colitis ulcerative/drug therapy	MESH	0.021505376344086	2
crohn disease/drug therapy	MESH	0.010752688172043	1
interleukin-12/antagonists & inhibitors	MESH	0.010752688172043	1
interleukin-23/antagonists & inhibitors	MESH	0.010752688172043	1
ustekinumab/therapeutic use	MESH	0.010752688172043	1
colitis ulcerative/physiopathology	MESH	0.010752688172043	1
crohn disease/physiopathology	MESH	0.010752688172043	1
colitis/chemically induced	MESH	0.7419354838709677	69
ipilimumab/adverse effects	MESH	0.0967741935483871	9
disease susceptibility	MESH	0.010752688172043	1
postoperative complications	MESH	0.010752688172043	1
diarrhea/therapy	MESH	0.010752688172043	1
neoplasms/therapy	MESH	0.010752688172043	1
colitis/therapy	MESH	0.010752688172043	1
immunologic factors	MESH	0.021505376344086	2
colon/diagnostic imaging	MESH	0.010752688172043	1
drug resistance/immunology	MESH	0.010752688172043	1
glucocorticoids/pharmacology	MESH	0.010752688172043	1
immunosuppressive agents/pharmacology	MESH	0.010752688172043	1
intestinal mucosa/diagnostic imaging	MESH	0.010752688172043	1
melanoma/drug therapy	MESH	0.053763440860215	5
mucositis/chemically induced	MESH	0.010752688172043	1
colon/immunology	MESH	0.021505376344086	2
intestinal mucosa/immunology	MESH	0.010752688172043	1
t-lymphocyte subsets/immunology	MESH	0.010752688172043	1
CXCL10	GENE	0.010752688172043	1
CXCL9	GENE	0.010752688172043	1
dermatitis	MESH	0.010752688172043	1
psoriasis	MESH	0.010752688172043	1
rna	MESH	0.010752688172043	1
TCIM	GENE	0.010752688172043	1
cytomegalovirus infections/complications	MESH	0.010752688172043	1
feces	MESH	0.010752688172043	1
LTF	GENE	0.010752688172043	1
steroids/therapeutic use	MESH	0.021505376344086	2
drug-related side effects and adverse reactions/diagnosis	MESH	0.010752688172043	1
esophagitis	MESH	0.010752688172043	1
ulcer/chemically induced	MESH	0.010752688172043	1
gastritis/chemically induced	MESH	0.0106382978723404	1
hepatitis/diagnosis	MESH	0.010752688172043	1
lung neoplasms	MESH	0.010752688172043	1
prednisolone/therapeutic use	MESH	0.010752688172043	1
mycophenolic acid	MESH	0.0106382978723404	1
protein kinase inhibitors/therapeutic use	MESH	0.010752688172043	1
lung neoplasms/drug therapy	MESH	0.021505376344086	2
oropharyngeal neoplasms/drug therapy	MESH	0.010752688172043	1
diarrhea/diagnosis	MESH	0.0104166666666666	1
colitis microscopic/diagnosis	MESH	0.0104166666666666	1
diarrhea/etiology	MESH	0.0104166666666666	1
gastrointestinal hemorrhage/etiology	MESH	0.0104166666666666	1
prednisolone/administration & dosage	MESH	0.0104166666666666	1
glucocorticoids/administration & dosage	MESH	0.0104166666666666	1
abdominal pain/etiology	MESH	0.0104166666666666	1
