"entity"	"membership"
"colorectal neoplasms/drug therapy"	10
"gene expression regulation neoplastic"	10
"ht29 cells"	10
"IL17A"	10
"interleukin-17/genetics"	10
"lymphocytes tumor-infiltrating/metabolism"	10
"micrornas/genetics"	10
"MIR15B"	10
"NRF1"	10
"t-lymphocytes cytotoxic/immunology"	10
"tumor microenvironment/drug effects"	10
"ARG1"	11
"azoxymethane/adverse effects"	11
"cd8-positive t-lymphocytes/immunology"	11
"cell line tumor"	11
"colitis/etiology"	11
"colonic neoplasms/drug therapy"	11
"cytotoxicity immunologic"	11
"dextran sulfate/adverse effects"	11
"drug synergism"	11
"drug-related side effects and adverse reactions/prevention & control"	11
"growth inhibitors/therapeutic use"	11
"immune checkpoint inhibitors/therapeutic use"	11
"lymphocytes tumor-infiltrating/immunology"	11
"MTOR"	11
"myeloid-derived suppressor cells/metabolism"	11
"PARP1"	11
"phosphatidylinositol 3-kinases/metabolism"	11
"phthalazines/administration & dosage"	11
"piperazines/administration & dosage"	11
"poly(adp-ribose) polymerase inhibitors/administration & dosage"	11
"sirolimus/therapeutic use"	11
"TIPARP"	11
"arthritis/chemically induced"	12
"BTLA"	12
"CD28"	12
"CHI3L1"	12
"CSF2"	12
"CXCL8"	12
"gastrointestinal neoplasms/drug therapy"	12
"glucocorticoids"	12
"HAVCR2"	12
"IL15"	12
"IL17C"	12
"IL21"	12
"IL22"	12
"IL4"	12
"IL6"	12
"immune system diseases/drug therapy"	12
"LIF"	12
"carcinoma non-small-cell lung"	13
"cd8-positive t-lymphocytes"	13
"colitis"	13
"colitis/therapy"	13
"diarrhea"	13
"diarrhea/therapy"	13
"esophagitis"	13
"immune checkpoint inhibitors"	13
"immunologic factors"	13
"ligands"	13
"LTF"	13
"neoplasms"	13
"neoplasms/therapy"	13
"pneumonia"	13
"recurrence"	13
"ulcer/chemically induced"	13
"CD4"	14
"CD68"	14
"cd8-positive t-lymphocytes/drug effects"	14
"CD8A"	14
"colitis ulcerative/immunology"	14
"colon/drug effects"	14
"crohn disease/immunology"	14
"graft vs host disease/immunology"	14
"immunologic memory/drug effects"	14
"interferon-gamma/metabolism"	14
"macrophages/drug effects"	14
"phenotype"	14
"piperidines/therapeutic use"	14
"pyrimidines/therapeutic use"	14
"cd8-positive t-lymphocytes/cytology"	15
"chemokines/metabolism"	15
"colitis/drug therapy"	15
"ctla-4 antigen/immunology"	15
"gene expression regulation/genetics"	15
"inflammation/drug therapy"	15
"melanoma/genetics"	15
"multigene family"	15
"myeloid cells/cytology"	15
"receptors antigen t-cell/genetics"	15
"receptors cxcr3/genetics"	15
"receptors cxcr6/genetics"	15
"t-lymphocytes regulatory/cytology"	15
"colitis ulcerative/drug therapy"	16
"interleukin-12/antagonists & inhibitors"	16
"interleukin-23/antagonists & inhibitors"	16
"ustekinumab/therapeutic use"	16
