c1	c2	weight	query
14	3	2.83225454137525	ctla-4 antigen/antagonists & inhibitors_CTLA4_immunologic memory/drug effects_programmed cell death 1 receptor/antagonists & inhibitors
14	4	6.37625110213272	ipilimumab/adverse effects_nivolumab/adverse effects_protein kinase inhibitors/therapeutic use_pyrimidines/therapeutic use
14	4	3.58036030386859	immunologic memory/drug effects_piperidines/therapeutic use_protein kinase inhibitors/therapeutic use_pyrimidines/therapeutic use
14	6	3.21495309264405	CD4_CD68_CD8A_inflammatory bowel diseases/drug therapy
14	6	2.79817550326857	CD4_CD68_crohn disease/immunology_inflammatory bowel diseases/drug therapy
15	4	4.00376964777102	biomarkers/analysis_colitis/drug therapy_feces/chemistry_leukocyte l1 antigen complex/analysis
15	4	3.94954221605064	biomarkers/analysis_colitis/drug therapy_diarrhea/chemically induced_neoplasms/drug therapy
2	3	3.75560338861366	colitis collagenous/drug therapy_melanoma/complications_neutrophils/drug effects_skin neoplasms/complications
2	3	3.26280788729517	antibodies monoclonal/adverse effects_colitis collagenous/drug therapy_melanoma/complications_neutrophils/drug effects
2	4	47.917428699958	colitis/chemically induced_immune checkpoint inhibitors/adverse effects_neoplasms/drug therapy_tryptophan/pharmacology
2	4	44.5369341013596	colitis/chemically induced_immune checkpoint inhibitors/adverse effects_nivolumab/adverse effects_postoperative complications
2	6	4.0061676075105	carcinoma non-small-cell lung/drug therapy_ipilimumab/therapeutic use_pneumonia/chemically induced_proton pump inhibitors/adverse effects
2	6	3.24133754158735	adrenal insufficiency/chemically induced_carcinoma non-small-cell lung/drug therapy_ipilimumab/therapeutic use_pneumonia/chemically induced
2	9	1.96473146046845	drug-related side effects and adverse reactions_infliximab/adverse effects_melanoma/drug therapy_TNF
2	9	1.91023830930929	carcinoma non-small-cell lung/complications_CRP_drug-related side effects and adverse reactions_infliximab/adverse effects
3	4	6.67378171891855	antineoplastic agents immunological/adverse effects_ctla-4 antigen/antagonists & inhibitors_immune checkpoint inhibitors/adverse effects_programmed cell death 1 receptor/antagonists & inhibitors
3	4	6.17507815112057	antineoplastic agents immunological/adverse effects_colitis ulcerative/chemically induced_immune checkpoint inhibitors/adverse effects_programmed cell death 1 receptor/antagonists & inhibitors
3	6	24.9760015189889	CD274_CTLA4_inflammatory bowel diseases/drug therapy_PDCD1
3	6	10.623981278797	ctla-4 antigen/antagonists & inhibitors_CTLA4_inflammatory bowel diseases/drug therapy_PDCD1
4	9	4.06968030670822	adrenal cortex hormones/therapeutic use_beclomethasone/adverse effects_biological products/therapeutic use_tumor necrosis factor inhibitors
4	9	3.87494174013288	adrenal cortex hormones/therapeutic use_beclomethasone/adverse effects_diarrhea/chemically induced_tumor necrosis factor inhibitors
