PMID	KW1	KW2	link	link_explicit	QuerySet
35801666	antibodies monoclonal humanized	endometrial neoplasms/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35801666/"", ""35801666"")"	https://pubmed.ncbi.nlm.nih.gov/35801666	pmid-ICI_and_Colitis.txt
35801666	antibodies monoclonal humanized	neoplasm recurrence local/drug therapy	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/35801666/"", ""35801666"")"	https://pubmed.ncbi.nlm.nih.gov/35801666	pmid-ICI_and_Colitis.txt
32540858	antibodies monoclonal humanized/administration & dosage	dose-response relationship drug	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32540858/"", ""32540858"")"	https://pubmed.ncbi.nlm.nih.gov/32540858	pmid-ICI_and_Colitis.txt
32540858	antibodies monoclonal humanized/administration & dosage	drugs investigational/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32540858/"", ""32540858"")"	https://pubmed.ncbi.nlm.nih.gov/32540858	pmid-ICI_and_Colitis.txt
32540858	antibodies monoclonal humanized/administration & dosage	immune checkpoint inhibitors/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32540858/"", ""32540858"")"	https://pubmed.ncbi.nlm.nih.gov/32540858	pmid-ICI_and_Colitis.txt
32540858	antibodies monoclonal humanized/administration & dosage	neoplasms/diagnosis	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32540858/"", ""32540858"")"	https://pubmed.ncbi.nlm.nih.gov/32540858	pmid-ICI_and_Colitis.txt
32540858	antibodies monoclonal humanized/administration & dosage	pneumonia/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32540858/"", ""32540858"")"	https://pubmed.ncbi.nlm.nih.gov/32540858	pmid-ICI_and_Colitis.txt
34956219	antibodies monoclonal humanized/adverse effects	immunocompromised host	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34956219/"", ""34956219"")"	https://pubmed.ncbi.nlm.nih.gov/34956219	pmid-ICI_and_Colitis.txt
34956219	antibodies monoclonal humanized/adverse effects	immunosuppressive agents/therapeutic use	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34956219/"", ""34956219"")"	https://pubmed.ncbi.nlm.nih.gov/34956219	pmid-ICI_and_Colitis.txt
34956219	antibodies monoclonal humanized/adverse effects	melanoma/immunology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34956219/"", ""34956219"")"	https://pubmed.ncbi.nlm.nih.gov/34956219	pmid-ICI_and_Colitis.txt
34956219	antibodies monoclonal humanized/adverse effects	myasthenia gravis/diagnosis	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34956219/"", ""34956219"")"	https://pubmed.ncbi.nlm.nih.gov/34956219	pmid-ICI_and_Colitis.txt
34956219	antibodies monoclonal humanized/adverse effects	prednisone/therapeutic use	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34956219/"", ""34956219"")"	https://pubmed.ncbi.nlm.nih.gov/34956219	pmid-ICI_and_Colitis.txt
34956219	antibodies monoclonal humanized/adverse effects	skin neoplasms/immunology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34956219/"", ""34956219"")"	https://pubmed.ncbi.nlm.nih.gov/34956219	pmid-ICI_and_Colitis.txt
33454238	antibodies monoclonal humanized/therapeutic use	infliximab/adverse effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33454238/"", ""33454238"")"	https://pubmed.ncbi.nlm.nih.gov/33454238	pmid-ICI_and_Colitis.txt
33454238	antibodies monoclonal humanized/therapeutic use	steroids/adverse effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33454238/"", ""33454238"")"	https://pubmed.ncbi.nlm.nih.gov/33454238	pmid-ICI_and_Colitis.txt
32567084	antibodies monoclonal/adverse effects	antineoplastic agents immunological/adverse effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32567084/"", ""32567084"")"	https://pubmed.ncbi.nlm.nih.gov/32567084	pmid-ICI_and_Colitis.txt
32567084	antibodies monoclonal/adverse effects	ctla-4 antigen/antagonists & inhibitors	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32567084/"", ""32567084"")"	https://pubmed.ncbi.nlm.nih.gov/32567084	pmid-ICI_and_Colitis.txt
32567084	antibodies monoclonal/adverse effects	lymphocytes/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32567084/"", ""32567084"")"	https://pubmed.ncbi.nlm.nih.gov/32567084	pmid-ICI_and_Colitis.txt
32567084	antibodies monoclonal/adverse effects	melanoma/complications	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32567084/"", ""32567084"")"	https://pubmed.ncbi.nlm.nih.gov/32567084	pmid-ICI_and_Colitis.txt
32567084	antibodies monoclonal/adverse effects	neutrophils/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32567084/"", ""32567084"")"	https://pubmed.ncbi.nlm.nih.gov/32567084	pmid-ICI_and_Colitis.txt
32567084	antibodies monoclonal/adverse effects	vitamin d/administration & dosage	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32567084/"", ""32567084"")"	https://pubmed.ncbi.nlm.nih.gov/32567084	pmid-ICI_and_Colitis.txt
33476895	antineoplastic agents immunological/adverse effects	colitis ulcerative/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33476895/"", ""33476895"")"	https://pubmed.ncbi.nlm.nih.gov/33476895	pmid-ICI_and_Colitis.txt
32567084	antineoplastic agents immunological/adverse effects	ctla-4 antigen/antagonists & inhibitors	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32567084/"", ""32567084"")"	https://pubmed.ncbi.nlm.nih.gov/32567084	pmid-ICI_and_Colitis.txt
32702598	antineoplastic agents immunological/adverse effects	ctla-4 antigen/antagonists & inhibitors	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32702598/"", ""32702598"")"	https://pubmed.ncbi.nlm.nih.gov/32702598	pmid-ICI_and_Colitis.txt
32434876	antineoplastic agents immunological/adverse effects	cytomegalovirus infections/diagnosis	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/32434876/"", ""32434876"")"	https://pubmed.ncbi.nlm.nih.gov/32434876	pmid-ICI_and_Colitis.txt
34162429	antineoplastic agents immunological/adverse effects	dysbiosis/etiology	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34162429/"", ""34162429"")"	https://pubmed.ncbi.nlm.nih.gov/34162429	pmid-ICI_and_Colitis.txt
33476895	antineoplastic agents immunological/adverse effects	hashimoto disease/chemically induced	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/33476895/"", ""33476895"")"	https://pubmed.ncbi.nlm.nih.gov/33476895	pmid-ICI_and_Colitis.txt
34162429	antineoplastic agents immunological/adverse effects	host microbial interactions/drug effects	"=HYPERLINK(""https://pubmed.ncbi.nlm.nih.gov/34162429/"", ""34162429"")"	https://pubmed.ncbi.nlm.nih.gov/34162429	pmid-ICI_and_Colitis.txt
